p_val	avg_logFC	pct.1	pct.2	p_val_adj
Rgs5	8.14554696564576e-276	2.55700333384646	0.5	0.004	1.09239930356275e-271
Esam	2.12000818407384e-158	1.62132565964871	0.48	0.015	2.84314297566143e-154
Apold1	1.25902315562305e-130	1.68598270294088	0.571	0.033	1.68847595400607e-126
Gm13889	8.31439237792065e-121	2.57781851872963	0.622	0.048	1.11504316180294e-116
Abcc9	9.27426437581317e-102	1.66572710312258	0.347	0.014	1.2437715954403e-97
Fabp4	4.26167466448055e-95	1.45866978534129	0.398	0.021	5.71533189253486e-91
Rgs4	8.35087140227992e-91	1.35776811724163	0.327	0.014	1.11993536375976e-86
Adgrf5	8.66441783069455e-78	1.46992777799541	0.408	0.031	1.16198507527445e-73
Sparcl1	6.46448956312779e-70	2.62183829542383	0.786	0.17	8.66952695311068e-66
Nid2	9.79228813090926e-60	1.59064932926792	0.357	0.031	1.31324376123624e-55
Epas1	3.23023579098839e-57	1.68334778009434	0.694	0.152	4.33206921929452e-53
Mylk	2.90687773667864e-56	1.32734154414756	0.388	0.041	3.89841373265972e-52
Col4a1	3.70659830226924e-55	2.29192597942668	0.929	0.399	4.97091898317328e-51
Des	2.05281606278071e-53	0.770172707457853	0.255	0.016	2.7530316217952e-49
Atp1b2	2.08047662204263e-52	0.941141427553644	0.286	0.022	2.79012719782137e-48
Kcne4	3.68527298417532e-52	1.63352857958857	0.337	0.032	4.94231959907752e-48
Col4a2	8.09596022894505e-47	2.1211926366197	0.847	0.344	1.08574922630382e-42
Igfbp7	3.08884729910459e-42	1.50235039492238	0.98	0.514	4.14245311282917e-38
Adamts9	7.66509867151652e-41	0.975738089610309	0.306	0.034	1.02796638283708e-36
Sema6d	2.73523196969319e-40	0.945508472534347	0.265	0.026	3.66821959455553e-36
Gjc1	3.46130996492998e-40	0.864108578517926	0.327	0.04	4.6419627939676e-36
Mcam	4.14484651701466e-40	1.56758596855181	0.582	0.144	5.55865366396835e-36
Flt1	7.51240056611993e-40	0.847294465673757	0.276	0.028	1.00748803992234e-35
Plvap	2.36013839292536e-39	1.26798954130976	0.255	0.024	3.1651815987522e-35
Notch3	3.17266510299653e-39	1.47679762708738	0.408	0.067	4.25486116962864e-35
Mtus1	4.6285760520996e-36	1.08259814576218	0.357	0.055	6.20738334347078e-32
Itga7	3.08128251749862e-33	1.18137575667596	0.367	0.062	4.13230798421739e-29
Sept4	4.87358515979173e-33	0.947480386348508	0.306	0.043	6.53596505779669e-29
Col18a1	5.81874179870775e-32	0.979505343216451	0.816	0.3	7.80351462624697e-28
Cygb	9.59583904201647e-32	1.46487310433239	0.571	0.163	1.28689797392483e-27
S1pr3	5.05636375529651e-29	1.46369752776567	0.449	0.105	6.78108943222815e-25
Vim	2.85538372767574e-28	0.972645404918143	0.959	0.714	3.82935511718593e-24
Il6	2.24833843547822e-27	2.32107216376239	0.459	0.116	3.01524667581983e-23
Id3	1.50747461365442e-26	1.53693271617362	0.531	0.157	2.02167420437195e-22
Timp3	5.45389938250261e-26	1.07063471916696	0.602	0.194	7.31422446187425e-22
Ltbp4	4.65589978276987e-25	1.17059254120342	0.5	0.148	6.24402719867268e-21
Adamts1	9.83002537156271e-24	1.18772643333789	0.735	0.33	1.31830470258027e-19
Thy1	2.15244581321639e-23	0.964169633482543	0.745	0.296	2.8866450801045e-19
Akap12	1.87109926096769e-22	0.940615528947035	0.306	0.062	2.50933121888377e-18
Lrrc32	4.68659750344198e-22	1.16110348858914	0.429	0.119	6.28519591186604e-18
Gem	4.49629173157822e-21	1.08812077980494	0.673	0.308	6.02997684121955e-17
Lgals3	1.0067517860156e-20	-1.7213223748149	0.276	0.733	1.35015482022553e-16
Rhoj	1.1373964520741e-20	0.804310655759267	0.429	0.124	1.52536238187657e-16
Gnb4	1.16420397360866e-19	0.975686141644811	0.357	0.093	1.56131394900658e-15
Col15a1	1.58753733158822e-19	1.1731359697991	0.5	0.169	2.12904631539296e-15
Basp1	3.8816506623754e-19	-1.60048032455885	0.092	0.577	5.20568170331166e-15
Gng11	2.28090037395914e-18	1.32044477124047	0.52	0.202	3.0589154915166e-14
Pdgfrb	2.59305413885343e-18	0.974013895617146	0.531	0.204	3.47754490561634e-14
Sh2b3	3.09835570150186e-18	0.773482026433637	0.439	0.146	4.15520483128415e-14
Sparc	8.77989594627369e-18	0.570788728642559	0.949	0.549	1.17747184535476e-13
Ptp4a3	3.1029581704425e-17	1.1121235743629	0.327	0.089	4.16137720238044e-13
Meg3	4.37267207911931e-17	0.874394116416788	0.561	0.219	5.86419052530691e-13
Spry1	6.60255544548968e-17	0.904603414831891	0.255	0.056	8.85468710794621e-13
Serpine2	1.07219759805562e-16	1.19856190987998	0.704	0.411	1.43792419875239e-12
Sptbn1	1.21924957267175e-16	0.979639434162313	0.673	0.389	1.63513560191009e-12
Tns1	1.43861126442395e-16	0.732213791593992	0.388	0.119	1.92932156671896e-12
Ifitm3	4.78970153379479e-16	0.822511444063548	0.827	0.595	6.42346872697219e-12
Itga1	5.03742037295664e-16	0.690332491136247	0.265	0.063	6.75568446217215e-12
Nrp1	7.27863446760829e-16	1.07657383883593	0.531	0.233	9.76137668450948e-12
Ctsd	7.54447740588837e-16	-1.14432189527205	0.51	0.796	1.01178986490369e-11
