p_val	avg_logFC	pct.1	pct.2	p_val_adj
Ccl17	8.28486275992301e-274	3.2567253909637	0.686	0.019	1.11108294473327e-269
Napsa	1.4257388950224e-234	1.77364517371121	0.76	0.035	1.91205843211454e-230
Ccl22	1.15345881740218e-163	3.23957141078484	0.479	0.017	1.54690362001807e-159
Pkib	6.39852931756753e-163	1.38600382879044	0.471	0.017	8.58106766778981e-159
Plbd1	3.70965799340151e-138	1.78721821662897	0.719	0.066	4.97502233495076e-134
P2ry10	8.69732115080969e-137	0.996154719309678	0.628	0.043	1.16639773953509e-132
Myo1g	4.20036852506204e-132	1.43521965464304	0.752	0.073	5.6331142289607e-128
Cytip	9.13777400696242e-130	2.29172214586058	0.942	0.155	1.22546687207373e-125
H2.Eb1	8.80346011699657e-128	1.83530805274106	0.769	0.085	1.18063203629041e-123
Ramp3	1.58942567773072e-124	1.80058982766155	0.694	0.069	2.13157877640467e-120
Irf5	1.06129441389947e-116	1.56103381617082	0.785	0.101	1.42330193848058e-112
Ccr7	6.71057184907539e-116	2.49934776704674	0.496	0.034	8.999547906795e-112
Cd86	2.64707950801529e-113	1.46552845976085	0.719	0.082	3.54999832819931e-109
Htr7	3.97373415797245e-108	0.824874305597491	0.273	0.007	5.32917487925685e-104
Bcl2a1a	8.11162994248762e-108	1.09994246167096	0.545	0.044	1.08785069158702e-103
Klrb1b	4.98552493050854e-107	1.14673871518126	0.438	0.027	6.68608748430501e-103
Cd74	4.67985988729019e-104	1.78691440593212	0.983	0.187	6.27616009484487e-100
Csf2rb	1.40649417151653e-103	1.93726159596405	0.967	0.207	1.88624933342082e-99
H2.Aa	2.55475791337408e-103	2.1688657059337	0.967	0.213	3.42618583762598e-99
Dcstamp	6.52647121276366e-102	1.69398129568847	0.694	0.085	8.75265054343734e-98
Mcemp1	1.88267546737159e-100	0.727702726327045	0.314	0.012	2.52485606929204e-96
Tbc1d4	6.11105105033037e-99	2.10225524682294	0.529	0.05	8.19553056359806e-95
Csf2rb2	1.11811361837249e-97	1.56936177258094	0.893	0.165	1.49950217359934e-93
Pdcd1lg2	3.85283325388812e-96	1.04632445175064	0.355	0.018	5.16703467678936e-92
Alox5ap	1.58927604515776e-94	1.35072053033722	0.736	0.101	2.13137810416107e-90
Clec7a	2.81102850118493e-94	1.79261381358369	0.785	0.126	3.76987032293911e-90
H2.Ab1	2.66153744012789e-93	2.24783596533772	0.959	0.253	3.56938786095552e-89
H2.DMa	4.22315574178700e-92	1.59289503478228	0.793	0.129	5.66367416531054e-88
Map3k14	3.33396906133137e-90	1.182565549571	0.455	0.038	4.47118590815149e-86
Cd52	1.64864598265235e-89	1.29648104207146	0.876	0.157	2.21099912733506e-85
Il1r2	1.43539317239939e-87	1.75386439917882	0.727	0.116	1.92500578350482e-83
Snx20	3.80323326749703e-84	1.06707943542466	0.562	0.064	5.10051613504027e-80
Pik3r6	1.05879939976105e-83	0.786008635204889	0.289	0.014	1.41995587501954e-79
Rhof	1.7375509996422e-82	0.917099057479057	0.405	0.032	2.33022964562015e-78
Ctss	1.95775929735313e-80	1.22843364227764	0.967	0.203	2.62555099368029e-76
Mgl2	5.63011550347111e-79	1.367196291364	0.512	0.057	7.55054790170511e-75
Gpr171	4.36698473515251e-77	0.993660866859881	0.479	0.05	5.85656322831303e-73
Pik3r5	1.45337548041428e-76	1.18981013325784	0.694	0.111	1.94912185678359e-72
Bcl2a1b	2.43140568760168e-76	1.07146515268684	0.678	0.104	3.26075816764262e-72
Cd83	6.3238671427524e-76	1.28134472481264	0.744	0.126	8.48093822514524e-72
Il7r	1.23674505798063e-74	1.0874360419006	0.603	0.083	1.65859879725782e-70
Plek	6.23814349456278e-74	1.19703178506492	0.884	0.193	8.36597424055815e-70
Itgax	1.78647943204379e-73	1.10419266581009	0.678	0.106	2.39584756631393e-69
Irf8	2.06105673742218e-73	1.40347614664312	0.587	0.084	2.76408319055689e-69
Malt1	3.48630491355453e-73	1.38693095140808	0.744	0.152	4.67548351956798e-69
Il1b	1.22034352333315e-72	1.75127399980067	0.868	0.222	1.63660269914209e-68
H2.DMb1	5.45078108411911e-71	1.17364000494455	0.744	0.139	7.31004251191214e-67
