p_val	avg_logFC	pct.1	pct.2	p_val_adj
Dpt	0	3.20862592933101	0.965	0.037	0
Efemp1	0	2.83889012681036	0.867	0.024	0
Clec3b	0	2.17382856561489	0.798	0.008	0
Sfrp4	0	2.16049624860361	0.595	0.006	0
Spon2	0	2.03293241631627	0.711	0.017	0
Pi16	1.63684205650984e-305	2.40329671978915	0.676	0.018	2.19516888198535e-301
Ogn	3.33626594022083e-294	2.14910287314383	0.676	0.021	4.47426625243015e-290
Cd34	1.39466761417147e-277	2.08983773280655	0.798	0.043	1.87038873736536e-273
Cadm3	4.11854111263305e-274	1.36439798885944	0.543	0.01	5.52337548615218e-270
Tnxb	2.26353631732214e-247	1.0669502309823	0.422	0.003	3.03562855516072e-243
Has1	8.36055867186051e-247	2.75951310695586	0.948	0.096	1.12123452348321e-242
Ly6c1	2.50703573764259e-239	2.38231771921952	0.815	0.062	3.36218562775247e-235
Tnfaip6	1.38184758595994e-215	3.38920314087257	0.988	0.142	1.85319579753088e-211
Ptx3	1.43553832622075e-210	3.34385056967387	0.798	0.073	1.92520044929465e-206
Itih5	1.06611171800674e-203	1.42216891082318	0.607	0.032	1.42976242501884e-199
C4b	5.33268511653085e-198	2.34492538551817	0.792	0.077	7.15166400977952e-194
Igfbp6	1.95569482763784e-192	2.00786734042732	0.798	0.081	2.6227823333451e-188
Dpep1	1.6420765740454e-187	1.40509841270564	0.549	0.028	2.20218889345229e-183
Lum	5.90419804393199e-181	2.26247237045786	0.948	0.147	7.91811999671719e-177
Penk	6.30880332035877e-180	2.00174301533871	0.532	0.027	8.46073613293314e-176
Prelp	2.34836599724301e-176	1.52280540923981	0.613	0.043	3.1493936389026e-172
Dcn	1.45522946211285e-173	3.06102317758779	0.994	0.216	1.95160823163955e-169
Cxcl12	1.68707037941998e-167	2.35877459477732	0.803	0.107	2.26253008584014e-163
Figf	4.32613450203008e-162	1.11797425689016	0.41	0.015	5.80177898067254e-158
Tmeff2	9.02201364122907e-162	0.727255197480373	0.312	0.005	1.20994224942523e-157
Mnda	6.97756195841756e-157	1.6787429221751	0.734	0.086	9.35760834243379e-153
C3	3.53229092104148e-156	2.67683938253523	0.821	0.12	4.73715535420873e-152
Prg4	6.10105669118738e-151	1.32205473445794	0.318	0.007	8.1821271285514e-147
Rarres2	2.03325525300657e-150	2.496463093698	0.908	0.169	2.72679861980711e-146
